Wavelength (A),Transmittance
3000,0.000002600000
3005,0.000002800000
3010,0.000002510000
3015,0.000000000000
3020,0.000000426000
3025,0.000001060000
3030,0.000003080000
3035,0.000000000000
3040,0.000000000000
3045,0.000000753000
3050,0.000000000000
3055,0.000000782000
3060,0.000001490000
3065,0.000001540000
3070,0.000000528000
3075,0.000000000000
3080,0.000000646000
3085,0.000000005470
3090,0.000000769000
3095,0.000000000000
3100,0.000000817000
3105,0.000000057000
3110,0.000000022400
3115,0.000000847000
3120,0.000003680000
3125,0.000001850000
3130,0.000000549000
3135,0.000001050000
3140,0.000000000000
3145,0.000000775000
3150,0.000000000000
3155,0.000000000000
3160,0.000000000000
3165,0.000000223000
3170,0.000000913000
3175,0.000000000000
3180,0.000000000000
3185,0.000000000000
3190,0.000001000000
3195,0.000000710000
3200,0.000000535000
3205,0.000000000000
3210,0.000000000000
3215,0.000000871000
3220,0.000000693000
3225,0.000000000000
3230,0.000000000000
3235,0.000000000000
3240,0.000000000000
3245,0.000000056300
3250,0.000000000000
3255,0.000000000000
3260,0.000000289000
3265,0.000000000000
3270,0.000000000000
3275,0.000000000000
3280,0.000000012300
3285,0.000001300000
3290,0.000000000000
3295,0.000000000000
3300,0.000000000000
3305,0.000000388000
3310,0.000000394000
3315,0.000000004750
3320,0.000000859000
3325,0.000000429000
3330,0.000000000000
3335,0.000000315000
3340,0.000000532000
3345,0.000000603000
3350,0.000000531000
3355,0.000000000000
3360,0.000001540000
3365,0.000000252000
3370,0.000000000000
3375,0.000000396000
3380,0.000000067500
3385,0.000000000000
3390,0.000000443000
3395,0.000000000000
3400,0.000000000000
3405,0.000000000000
3410,0.000000000000
3415,0.000001210000
3420,0.000000000000
3425,0.000000709000
3430,0.000000000000
3435,0.000000463000
3440,0.000000157000
3445,0.000000000000
3450,0.000000000000
3455,0.000000265000
3460,0.000000096400
3465,0.000000731000
3470,0.000000762000
3475,0.000000456000
3480,0.000000036300
3485,0.000000000000
3490,0.000000068800
3495,0.000000376000
3500,0.000000544000
3505,0.000000417000
3510,0.000000014500
3515,0.000000000000
3520,0.000000079000
3525,0.000000339000
3530,0.000000346000
3535,0.000000000000
3540,0.000000132000
3545,0.000000000000
3550,0.000000149000
3555,0.000000000000
3560,0.000000000000
3565,0.000000020500
3570,0.000000000000
3575,0.000000444000
3580,0.000001000000
3585,0.000000000000
3590,0.000000000000
3595,0.000000000000
3600,0.000000062700
3605,0.000000325000
3610,0.000000000000
3615,0.000000000000
3620,0.000000000000
3625,0.000000000000
3630,0.000000126000
3635,0.000000296000
3640,0.000000000000
3645,0.000000418000
3650,0.000000000000
3655,0.000000068800
3660,0.000000043000
3665,0.000000000000
3670,0.000000162000
3675,0.000000151000
3680,0.000000000000
3685,0.000000170000
3690,0.000000528000
3695,0.000000162000
3700,0.000000485000
3705,0.000000000000
3710,0.000000391000
3715,0.000000419000
3720,0.000000000000
3725,0.000000148000
3730,0.000000109000
3735,0.000000116000
3740,0.000000326000
3745,0.000000035200
3750,0.000000000000
3755,0.000000000000
3760,0.000000000000
3765,0.000000049700
3770,0.000000000000
3775,0.000000021800
3780,0.000000255000
3785,0.000000000000
3790,0.000000000891
3795,0.000000047200
3800,0.000000394000
3805,0.000000000000
3810,0.000000031800
3815,0.000000313000
3820,0.000000024400
3825,0.000000359000
3830,0.000000140000
3835,0.000000000000
3840,0.000000278000
3845,0.000000207000
3850,0.000000252000
3855,0.000000251000
3860,0.000000144000
3865,0.000000125000
3870,0.000000320000
3875,0.000000103000
3880,0.000000000000
3885,0.000000365000
3890,0.000000056800
3895,0.000000330000
3900,0.000000000000
3905,0.000000000000
3910,0.000000290000
